X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.278737,46.587053,0,0,54,288.5,2024/09/14 17:58:17+00,,,,,,,,,,,,,,,,,,,,,
-84.278688,46.587073,0,0,55,288.5,2024/09/14 17:58:18+00,,,,,,,,,,,,,,,,,,,,,
-84.278642,46.587094,0,0,56,288.5,2024/09/14 17:58:19+00,,,,,,,,,,,,,,,,,,,,,
-84.278601,46.587114,0,0,57,288.5,2024/09/14 17:58:20+00,,,,,,,,,,,,,,,,,,,,,
-84.278563,46.587135,0,0,58,288.5,2024/09/14 17:58:21+00,,,,,,,,,,,,,,,,,,,,,
-84.278523,46.587159,0,0,59,288.5,2024/09/14 17:58:22+00,,,,,,,,,,,,,,,,,,,,,
-84.278484,46.587182,0,0,60,288.5,2024/09/14 17:58:23+00,,,,,,,,,,,,,,,,,,,,,
-84.278449,46.587205,0,0,61,288.5,2024/09/14 17:58:24+00,,,,,,,,,,,,,,,,,,,,,
-84.278407,46.587229,0,0,62,288.5,2024/09/14 17:58:25+00,,,,,,,,,,,,,,,,,,,,,
-84.278357,46.587251,0,0,63,288.5,2024/09/14 17:58:26+00,,,,,,,,,,,,,,,,,,,,,
-84.278308,46.587271,0,0,64,288.5,2024/09/14 17:58:27+00,,,,,,,,,,,,,,,,,,,,,
-84.278261,46.587297,0,0,65,288.6,2024/09/14 17:58:28+00,,,,,,,,,,,,,,,,,,,,,
-84.278221,46.587316,0,0,66,288.6,2024/09/14 17:58:29+00,,,,,,,,,,,,,,,,,,,,,
-84.278173,46.58733,0,0,67,288.6,2024/09/14 17:58:30+00,,,,,,,,,,,,,,,,,,,,,
-84.278119,46.587342,0,0,68,288.2,2024/09/14 17:58:31+00,,,,,,,,,,,,,,,,,,,,,
-84.278068,46.587356,0,0,69,287.8,2024/09/14 17:58:32+00,,,,,,,,,,,,,,,,,,,,,
-84.278026,46.58737,0,0,70,287.9,2024/09/14 17:58:33+00,,,,,,,,,,,,,,,,,,,,,
-84.277983,46.587384,0,0,71,287.6,2024/09/14 17:58:34+00,,,,,,,,,,,,,,,,,,,,,
-84.277932,46.587398,0,0,72,287.8,2024/09/14 17:58:35+00,,,,,,,,,,,,,,,,,,,,,
-84.277871,46.587413,0,0,73,287.3,2024/09/14 17:58:36+00,,,,,,,,,,,,,,,,,,,,,
-84.277828,46.587428,0,0,74,287.7,2024/09/14 17:58:37+00,,,,,,,,,,,,,,,,,,,,,
-84.277771,46.587453,0,0,75,288,2024/09/14 17:58:38+00,,,,,,,,,,,,,,,,,,,,,
-84.277735,46.587477,0,0,76,288.2,2024/09/14 17:58:39+00,,,,,,,,,,,,,,,,,,,,,
-84.2777,46.587504,0,0,77,288,2024/09/14 17:58:40+00,,,,,,,,,,,,,,,,,,,,,
-84.277664,46.587529,0,0,78,288.2,2024/09/14 17:58:41+00,,,,,,,,,,,,,,,,,,,,,
-84.277632,46.58755,0,0,79,288.5,2024/09/14 17:58:42+00,,,,,,,,,,,,,,,,,,,,,
-84.277592,46.587572,0,0,80,288.8,2024/09/14 17:58:43+00,,,,,,,,,,,,,,,,,,,,,
-84.277551,46.587592,0,0,81,288.6,2024/09/14 17:58:44+00,,,,,,,,,,,,,,,,,,,,,
-84.27752,46.58761,0,0,82,289,2024/09/14 17:58:45+00,,,,,,,,,,,,,,,,,,,,,
-84.277492,46.587631,0,0,83,289.3,2024/09/14 17:58:46+00,,,,,,,,,,,,,,,,,,,,,
-84.277464,46.587651,0,0,84,289.3,2024/09/14 17:58:47+00,,,,,,,,,,,,,,,,,,,,,
-84.277436,46.587674,0,0,85,289.4,2024/09/14 17:58:48+00,,,,,,,,,,,,,,,,,,,,,
-84.27741,46.587697,0,0,86,289.5,2024/09/14 17:58:49+00,,,,,,,,,,,,,,,,,,,,,
-84.277382,46.587725,0,0,87,289.5,2024/09/14 17:58:50+00,,,,,,,,,,,,,,,,,,,,,
-84.277356,46.587756,0,0,88,289.6,2024/09/14 17:58:51+00,,,,,,,,,,,,,,,,,,,,,
-84.277319,46.587792,0,0,89,289.6,2024/09/14 17:58:52+00,,,,,,,,,,,,,,,,,,,,,
-84.277278,46.587833,0,0,90,289.7,2024/09/14 17:58:53+00,,,,,,,,,,,,,,,,,,,,,
