X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.583711,46.528991,0,0,54,187.5,2024/11/09 16:57:56+00,,,,,,,,,,,,,,,,,,,,,
-84.583621,46.528962,0,0,55,187.6,2024/11/09 16:57:57+00,,,,,,,,,,,,,,,,,,,,,
-84.583536,46.528932,0,0,56,187.7,2024/11/09 16:57:58+00,,,,,,,,,,,,,,,,,,,,,
-84.583449,46.528905,0,0,57,187.8,2024/11/09 16:57:59+00,,,,,,,,,,,,,,,,,,,,,
-84.58336,46.528878,0,0,58,187.8,2024/11/09 16:58:00+00,,,,,,,,,,,,,,,,,,,,,
-84.583271,46.528856,0,0,59,187.9,2024/11/09 16:58:01+00,,,,,,,,,,,,,,,,,,,,,
-84.583179,46.528835,0,0,60,187.9,2024/11/09 16:58:02+00,,,,,,,,,,,,,,,,,,,,,
-84.583084,46.528811,0,0,61,188,2024/11/09 16:58:03+00,,,,,,,,,,,,,,,,,,,,,
-84.582988,46.528785,0,0,62,188,2024/11/09 16:58:04+00,,,,,,,,,,,,,,,,,,,,,
-84.582893,46.528759,0,0,63,188,2024/11/09 16:58:05+00,,,,,,,,,,,,,,,,,,,,,
-84.582801,46.528735,0,0,64,188,2024/11/09 16:58:06+00,,,,,,,,,,,,,,,,,,,,,
-84.582699,46.528705,0,0,65,188.1,2024/11/09 16:58:07+00,,,,,,,,,,,,,,,,,,,,,
-84.582601,46.528679,0,0,66,188.1,2024/11/09 16:58:08+00,,,,,,,,,,,,,,,,,,,,,
-84.582505,46.528653,0,0,67,188.1,2024/11/09 16:58:09+00,,,,,,,,,,,,,,,,,,,,,
-84.58241,46.528628,0,0,68,188.1,2024/11/09 16:58:10+00,,,,,,,,,,,,,,,,,,,,,
-84.582314,46.528606,0,0,69,188.1,2024/11/09 16:58:11+00,,,,,,,,,,,,,,,,,,,,,
-84.58222,46.528586,0,0,70,188,2024/11/09 16:58:12+00,,,,,,,,,,,,,,,,,,,,,
-84.582129,46.528567,0,0,71,188,2024/11/09 16:58:13+00,,,,,,,,,,,,,,,,,,,,,
-84.582035,46.528545,0,0,72,187.9,2024/11/09 16:58:14+00,,,,,,,,,,,,,,,,,,,,,
-84.581944,46.528522,0,0,73,187.9,2024/11/09 16:58:15+00,,,,,,,,,,,,,,,,,,,,,
-84.581854,46.528497,0,0,74,187.9,2024/11/09 16:58:16+00,,,,,,,,,,,,,,,,,,,,,
-84.581761,46.528475,0,0,75,187.8,2024/11/09 16:58:17+00,,,,,,,,,,,,,,,,,,,,,
-84.581666,46.528449,0,0,76,187.8,2024/11/09 16:58:18+00,,,,,,,,,,,,,,,,,,,,,
-84.581574,46.528423,0,0,77,187.7,2024/11/09 16:58:19+00,,,,,,,,,,,,,,,,,,,,,
-84.581482,46.528401,0,0,78,187.7,2024/11/09 16:58:20+00,,,,,,,,,,,,,,,,,,,,,
-84.581388,46.52838,0,0,79,187.6,2024/11/09 16:58:21+00,,,,,,,,,,,,,,,,,,,,,
-84.581296,46.528359,0,0,80,187.6,2024/11/09 16:58:22+00,,,,,,,,,,,,,,,,,,,,,
-84.581206,46.528342,0,0,81,187.5,2024/11/09 16:58:23+00,,,,,,,,,,,,,,,,,,,,,
-84.581116,46.528323,0,0,82,187.5,2024/11/09 16:58:24+00,,,,,,,,,,,,,,,,,,,,,
-84.58103,46.5283,0,0,83,187.5,2024/11/09 16:58:25+00,,,,,,,,,,,,,,,,,,,,,
-84.58094,46.528276,0,0,84,187.5,2024/11/09 16:58:26+00,,,,,,,,,,,,,,,,,,,,,
-84.580851,46.528256,0,0,85,187.5,2024/11/09 16:58:27+00,,,,,,,,,,,,,,,,,,,,,
-84.58076,46.528237,0,0,86,187.5,2024/11/09 16:58:28+00,,,,,,,,,,,,,,,,,,,,,
-84.580661,46.528213,0,0,87,187.5,2024/11/09 16:58:29+00,,,,,,,,,,,,,,,,,,,,,
-84.580566,46.528187,0,0,88,187.5,2024/11/09 16:58:30+00,,,,,,,,,,,,,,,,,,,,,
-84.58047,46.528158,0,0,89,187.5,2024/11/09 16:58:31+00,,,,,,,,,,,,,,,,,,,,,
-84.58038,46.528134,0,0,90,187.6,2024/11/09 16:58:32+00,,,,,,,,,,,,,,,,,,,,,
-84.580291,46.528114,0,0,91,187.6,2024/11/09 16:58:33+00,,,,,,,,,,,,,,,,,,,,,
-84.580199,46.528092,0,0,92,187.7,2024/11/09 16:58:34+00,,,,,,,,,,,,,,,,,,,,,
-84.580116,46.528075,0,0,93,187.7,2024/11/09 16:58:35+00,,,,,,,,,,,,,,,,,,,,,
-84.580021,46.528054,0,0,94,187.8,2024/11/09 16:58:36+00,,,,,,,,,,,,,,,,,,,,,
-84.579915,46.528029,0,0,95,187.9,2024/11/09 16:58:37+00,,,,,,,,,,,,,,,,,,,,,
-84.579818,46.528003,0,0,96,187.9,2024/11/09 16:58:38+00,,,,,,,,,,,,,,,,,,,,,
-84.579725,46.527975,0,0,97,188,2024/11/09 16:58:39+00,,,,,,,,,,,,,,,,,,,,,
-84.579634,46.52795,0,0,98,188,2024/11/09 16:58:40+00,,,,,,,,,,,,,,,,,,,,,
-84.57954,46.527925,0,0,99,188.1,2024/11/09 16:58:41+00,,,,,,,,,,,,,,,,,,,,,
-84.579442,46.527902,0,0,100,188.2,2024/11/09 16:58:42+00,,,,,,,,,,,,,,,,,,,,,
-84.579344,46.52788,0,0,101,188.2,2024/11/09 16:58:43+00,,,,,,,,,,,,,,,,,,,,,
-84.579247,46.52786,0,0,102,188.3,2024/11/09 16:58:44+00,,,,,,,,,,,,,,,,,,,,,
-84.579157,46.527842,0,0,103,188.3,2024/11/09 16:58:45+00,,,,,,,,,,,,,,,,,,,,,
-84.579062,46.52782,0,0,104,188.4,2024/11/09 16:58:46+00,,,,,,,,,,,,,,,,,,,,,
-84.578966,46.527795,0,0,105,188.4,2024/11/09 16:58:47+00,,,,,,,,,,,,,,,,,,,,,
-84.578871,46.527771,0,0,106,188.5,2024/11/09 16:58:48+00,,,,,,,,,,,,,,,,,,,,,
-84.578773,46.527744,0,0,107,188.6,2024/11/09 16:58:49+00,,,,,,,,,,,,,,,,,,,,,
-84.578679,46.52772,0,0,108,188.6,2024/11/09 16:58:50+00,,,,,,,,,,,,,,,,,,,,,
-84.578592,46.527699,0,0,109,188.7,2024/11/09 16:58:51+00,,,,,,,,,,,,,,,,,,,,,
-84.5785,46.527679,0,0,110,188.7,2024/11/09 16:58:52+00,,,,,,,,,,,,,,,,,,,,,
-84.578403,46.52766,0,0,111,188.7,2024/11/09 16:58:53+00,,,,,,,,,,,,,,,,,,,,,
-84.578303,46.527643,0,0,112,188.8,2024/11/09 16:58:54+00,,,,,,,,,,,,,,,,,,,,,
-84.578207,46.527629,0,0,113,188.8,2024/11/09 16:58:55+00,,,,,,,,,,,,,,,,,,,,,
-84.578105,46.527617,0,0,114,188.8,2024/11/09 16:58:56+00,,,,,,,,,,,,,,,,,,,,,
-84.57801,46.527608,0,0,115,188.8,2024/11/09 16:58:57+00,,,,,,,,,,,,,,,,,,,,,
-84.577911,46.527598,0,0,116,188.8,2024/11/09 16:58:58+00,,,,,,,,,,,,,,,,,,,,,
-84.57781,46.527591,0,0,117,188.8,2024/11/09 16:58:59+00,,,,,,,,,,,,,,,,,,,,,
-84.577704,46.527586,0,0,118,188.8,2024/11/09 16:59:00+00,,,,,,,,,,,,,,,,,,,,,
-84.577602,46.527581,0,0,119,188.8,2024/11/09 16:59:01+00,,,,,,,,,,,,,,,,,,,,,
-84.577504,46.527579,0,0,120,188.8,2024/11/09 16:59:02+00,,,,,,,,,,,,,,,,,,,,,
-84.577403,46.52758,0,0,121,188.8,2024/11/09 16:59:03+00,,,,,,,,,,,,,,,,,,,,,
-84.5773,46.52758,0,0,122,188.8,2024/11/09 16:59:04+00,,,,,,,,,,,,,,,,,,,,,
-84.5772,46.527581,0,0,123,188.8,2024/11/09 16:59:05+00,,,,,,,,,,,,,,,,,,,,,
-84.577101,46.527581,0,0,124,188.8,2024/11/09 16:59:06+00,,,,,,,,,,,,,,,,,,,,,
-84.577002,46.527581,0,0,125,188.8,2024/11/09 16:59:07+00,,,,,,,,,,,,,,,,,,,,,
-84.576899,46.527581,0,0,126,188.8,2024/11/09 16:59:08+00,,,,,,,,,,,,,,,,,,,,,
-84.576799,46.527581,0,0,127,188.7,2024/11/09 16:59:09+00,,,,,,,,,,,,,,,,,,,,,
-84.576702,46.527581,0,0,128,188.7,2024/11/09 16:59:10+00,,,,,,,,,,,,,,,,,,,,,
-84.576606,46.527582,0,0,129,188.6,2024/11/09 16:59:11+00,,,,,,,,,,,,,,,,,,,,,
-84.576508,46.527585,0,0,130,188.6,2024/11/09 16:59:12+00,,,,,,,,,,,,,,,,,,,,,
-84.576408,46.527588,0,0,131,188.5,2024/11/09 16:59:13+00,,,,,,,,,,,,,,,,,,,,,
-84.576308,46.52759,0,0,132,188.5,2024/11/09 16:59:14+00,,,,,,,,,,,,,,,,,,,,,
-84.576203,46.527593,0,0,133,188.5,2024/11/09 16:59:15+00,,,,,,,,,,,,,,,,,,,,,
-84.576107,46.527598,0,0,134,188.5,2024/11/09 16:59:16+00,,,,,,,,,,,,,,,,,,,,,
-84.576017,46.527604,0,0,135,188.5,2024/11/09 16:59:17+00,,,,,,,,,,,,,,,,,,,,,
-84.575918,46.527603,0,0,136,188.6,2024/11/09 16:59:18+00,,,,,,,,,,,,,,,,,,,,,
-84.575818,46.527595,0,0,137,188.7,2024/11/09 16:59:19+00,,,,,,,,,,,,,,,,,,,,,
-84.575711,46.527588,0,0,138,188.8,2024/11/09 16:59:20+00,,,,,,,,,,,,,,,,,,,,,
-84.57561,46.527584,0,0,139,188.9,2024/11/09 16:59:21+00,,,,,,,,,,,,,,,,,,,,,
-84.575513,46.527583,0,0,140,189,2024/11/09 16:59:22+00,,,,,,,,,,,,,,,,,,,,,
-84.575421,46.527582,0,0,141,189,2024/11/09 16:59:23+00,,,,,,,,,,,,,,,,,,,,,
-84.575326,46.52758,0,0,142,189.2,2024/11/09 16:59:24+00,,,,,,,,,,,,,,,,,,,,,
-84.575237,46.527582,0,0,143,189.3,2024/11/09 16:59:25+00,,,,,,,,,,,,,,,,,,,,,
