longitude,latitude,annotation
-122.017821,45.636521,outdoor
-122.017827,45.636548,outdoor
-122.017838,45.636579,outdoor
-122.017863,45.636606,outdoor
-122.017889,45.636626,outdoor
-122.017931,45.636651,outdoor
-122.017959,45.636674,outdoor
-122.017996,45.636704,outdoor
-122.018021,45.636733,outdoor
-122.018045,45.636762,outdoor
-122.018085,45.636778,outdoor
-122.018115,45.636807,outdoor
-122.018124,45.636843,outdoor
-122.018125,45.636873,outdoor
-122.018133,45.636899,outdoor
-122.018146,45.636932,outdoor
-122.01814,45.636965,outdoor
-122.018142,45.636994,outdoor
-122.018162,45.637033,outdoor
-122.01818,45.63707,outdoor
-122.018191,45.637102,outdoor
-122.018209,45.637131,outdoor
-122.018219,45.637166,outdoor
-122.018208,45.637196,outdoor
-122.018195,45.637222,outdoor
-122.018201,45.637261,outdoor
-122.018242,45.637271,outdoor
-122.01826,45.637303,outdoor
-122.018308,45.637316,outdoor
-122.018357,45.637326,outdoor
-122.018399,45.637329,outdoor
-122.018438,45.637337,outdoor
-122.018477,45.637345,outdoor
-122.018533,45.637342,outdoor
-122.018576,45.637338,outdoor
-122.018583,45.637367,outdoor
-122.0186,45.637395,outdoor
-122.018622,45.637425,outdoor
-122.018621,45.637454,outdoor
-122.01864,45.637478,outdoor
-122.018686,45.637494,outdoor
-122.018725,45.637519,outdoor
-122.018767,45.637532,outdoor
-122.018806,45.637548,outdoor
-122.018837,45.63757,outdoor
-122.01886,45.637591,outdoor
-122.018879,45.637618,outdoor
-122.018867,45.637647,outdoor
-122.018866,45.637682,outdoor
-122.018893,45.637724,outdoor
-122.018903,45.637757,outdoor
-122.0189,45.637789,outdoor
-122.018876,45.637825,outdoor
-122.018855,45.637853,outdoor
-122.018832,45.637878,outdoor
-122.018827,45.637905,outdoor
-122.018873,45.63791,outdoor
-122.018828,45.637911,outdoor
-122.018796,45.637929,outdoor
-122.018769,45.637949,outdoor
-122.018786,45.637989,outdoor
-122.018786,45.638017,outdoor
-122.018782,45.638048,outdoor
-122.018766,45.638085,outdoor
-122.01876,45.638118,outdoor
-122.018723,45.638127,outdoor
-122.018696,45.63815,outdoor
-122.018693,45.638177,outdoor
-122.018692,45.638211,outdoor
-122.018693,45.638239,outdoor
-122.018697,45.638271,outdoor
-122.018708,45.638298,outdoor
-122.018734,45.638326,outdoor
-122.018744,45.638361,outdoor
-122.01874,45.63839,outdoor
-122.018729,45.638419,outdoor
-122.018706,45.638449,outdoor
-122.018697,45.638483,outdoor
-122.018698,45.638518,outdoor
-122.018701,45.638553,outdoor
-122.018698,45.638587,outdoor
-122.018688,45.638614,outdoor
-122.018645,45.638606,outdoor
-122.018614,45.638577,outdoor
-122.01866,45.63859,outdoor
-122.018665,45.63863,outdoor
-122.018685,45.638665,outdoor
-122.018698,45.638694,outdoor
-122.018695,45.638694,outdoor
-122.018648,45.638688,outdoor
-122.0186,45.638682,outdoor
-122.018524,45.638698,outdoor
-122.018452,45.638707,outdoor
-122.018405,45.638718,outdoor
-122.018362,45.638729,outdoor
-122.018395,45.638713,outdoor
-122.018405,45.638745,outdoor
-122.018457,45.638743,outdoor
-122.018506,45.638742,outdoor
-122.018545,45.638752,outdoor
-122.018579,45.638784,outdoor
-122.018589,45.638817,outdoor
-122.018573,45.638843,outdoor
-122.018547,45.638863,outdoor
-122.018541,45.638901,outdoor
-122.018522,45.638937,outdoor
-122.018506,45.638966,outdoor
-122.018489,45.639002,outdoor
-122.018488,45.639041,outdoor
-122.01849,45.639072,outdoor
-122.018456,45.639106,outdoor
-122.018441,45.639138,outdoor
-122.018446,45.639166,outdoor
-122.018486,45.639184,outdoor
-122.018529,45.639201,outdoor
-122.01854,45.63923,outdoor
-122.018583,45.639234,outdoor
-122.018596,45.639264,outdoor
-122.018572,45.639297,outdoor
-122.018582,45.639323,outdoor
-122.018606,45.639358,outdoor
-122.018616,45.639389,outdoor
-122.0186,45.639423,outdoor
-122.018595,45.639457,outdoor
-122.018607,45.639501,outdoor
-122.018616,45.639549,outdoor
-122.018618,45.639589,outdoor
-122.018607,45.639624,outdoor
-122.018582,45.63965,outdoor
-122.018557,45.639676,outdoor
-122.01853,45.639695,outdoor
-122.018511,45.639722,outdoor
-122.018516,45.639753,outdoor
-122.018519,45.639791,outdoor
-122.018507,45.639826,outdoor
-122.018501,45.639865,outdoor
-122.018494,45.639894,outdoor
-122.018464,45.639918,outdoor
-122.018447,45.639947,outdoor
-122.018455,45.639983,outdoor
-122.018463,45.640017,outdoor
-122.018476,45.640044,outdoor
-122.018502,45.640086,outdoor
-122.018503,45.640117,outdoor
-122.018501,45.640149,outdoor
-122.018506,45.640188,outdoor
-122.018511,45.640223,outdoor
-122.018505,45.640257,outdoor
-122.018499,45.64029,outdoor
-122.018497,45.640323,outdoor
-122.018471,45.640345,outdoor
-122.018441,45.640366,outdoor
-122.018427,45.640397,outdoor
-122.018418,45.640427,outdoor
-122.018438,45.640454,outdoor
-122.018471,45.640492,outdoor
-122.018496,45.640517,outdoor
-122.01851,45.640548,outdoor
-122.018495,45.640583,outdoor
-122.018489,45.64061,outdoor
-122.018482,45.640642,outdoor
-122.018457,45.640678,outdoor
-122.018451,45.640717,outdoor
-122.018463,45.640747,outdoor
-122.01846,45.640775,outdoor
-122.01845,45.640813,outdoor
-122.018426,45.640841,outdoor
-122.018397,45.640868,outdoor
-122.018404,45.640897,outdoor
-122.0184,45.640927,outdoor
-122.018406,45.640962,outdoor
-122.018407,45.640994,outdoor
-122.018378,45.641012,outdoor
-122.018355,45.641037,outdoor
-122.018363,45.641066,outdoor
-122.018383,45.641097,outdoor
-122.018357,45.641118,outdoor
-122.01831,45.641134,outdoor
-122.018301,45.641173,outdoor
-122.018267,45.641213,outdoor
-122.018225,45.641213,outdoor
-122.018166,45.641204,outdoor
-122.018132,45.641191,outdoor
-122.018088,45.64118,outdoor
-122.018026,45.641166,outdoor
-122.01798,45.641203,outdoor
-122.01797,45.641245,outdoor
-122.017976,45.641272,outdoor
-122.017941,45.641298,outdoor
-122.017911,45.64132,outdoor
-122.017886,45.641343,outdoor
-122.017872,45.641374,outdoor
-122.017875,45.641405,outdoor
-122.017888,45.641434,outdoor
-122.0179,45.641469,outdoor
-122.017922,45.641519,outdoor
-122.017932,45.641551,outdoor
-122.017918,45.641581,outdoor
-122.017938,45.641608,outdoor
-122.017957,45.641636,outdoor
-122.017989,45.641657,outdoor
-122.018023,45.641676,outdoor
-122.01806,45.641695,outdoor
-122.018082,45.641727,outdoor
-122.018097,45.641754,outdoor
-122.018096,45.641782,outdoor
-122.01809,45.641814,outdoor
-122.018047,45.641837,outdoor
-122.017988,45.64186,outdoor
-122.017945,45.641878,outdoor
-122.017908,45.641897,outdoor
-122.017861,45.64191,outdoor
-122.017822,45.641907,outdoor
-122.017783,45.6419,outdoor
-122.017745,45.641909,outdoor
-122.017683,45.641936,outdoor
-122.017623,45.641961,outdoor
-122.017567,45.641982,outdoor
-122.017524,45.642,outdoor
-122.017489,45.642018,outdoor
-122.017451,45.642036,outdoor
-122.017455,45.642068,outdoor
-122.017457,45.642103,outdoor
-122.017455,45.642137,outdoor
-122.017439,45.642166,outdoor
-122.017438,45.642201,outdoor
-122.017425,45.642227,outdoor
-122.017412,45.642261,outdoor
-122.01739,45.642285,outdoor
-122.017362,45.642311,outdoor
-122.017317,45.642318,outdoor
-122.01729,45.642299,outdoor
-122.017266,45.642321,outdoor
-122.017246,45.642351,outdoor
-122.017245,45.642386,outdoor
-122.017248,45.642415,outdoor
-122.017206,45.642433,outdoor
-122.01716,45.642453,outdoor
-122.017133,45.642476,outdoor
-122.017094,45.64249,outdoor
-122.017058,45.642525,outdoor
-122.017025,45.64255,outdoor
