longitude,latitude,annotation,,,,,,,,,,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-84.277771,46.587453,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277735,46.587477,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.2777,46.587504,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277664,46.587529,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277632,46.58755,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277592,46.587572,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277551,46.587592,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27752,46.58761,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277492,46.587631,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277464,46.587651,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277436,46.587674,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27741,46.587697,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277382,46.587725,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277356,46.587756,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277319,46.587792,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277278,46.587833,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277238,46.587869,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277202,46.587909,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277165,46.587952,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277134,46.587996,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277109,46.588037,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277087,46.588073,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277075,46.588105,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277066,46.588135,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277058,46.588168,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277053,46.588199,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277051,46.58823,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277043,46.588269,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277038,46.58831,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277034,46.588344,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277035,46.588374,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277049,46.5884,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277066,46.588432,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277086,46.58847,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277108,46.588507,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277123,46.588552,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27714,46.588589,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277163,46.588628,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277195,46.588673,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27721,46.588714,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277222,46.588746,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277228,46.588787,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27724,46.588828,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277241,46.588863,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277238,46.588894,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277233,46.588925,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277232,46.588958,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277229,46.588997,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277219,46.589047,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277212,46.589086,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277209,46.589124,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277202,46.589161,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277205,46.589205,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277207,46.589242,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277212,46.589276,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277219,46.589312,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277242,46.589338,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277266,46.589364,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277286,46.589391,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277273,46.589425,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27726,46.589437,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277218,46.589468,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277175,46.589502,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27714,46.589533,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277115,46.589559,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277074,46.589585,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.277029,46.589609,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27698,46.589642,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27695,46.589668,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276943,46.589689,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.27695,46.5897,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276956,46.58973,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276956,46.589764,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276959,46.589799,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276976,46.589835,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276993,46.589862,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276979,46.589885,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276969,46.589896,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276945,46.589919,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276924,46.58996,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276917,46.589975,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
-84.276915,46.590011,outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
