longitude,latitude,annotation
-17.82448,24.95076,outdoor
-17.82447,24.9507,outdoor
-17.82446,24.95064,outdoor
-17.82445,24.95058,outdoor
-17.82443,24.95052,outdoor
-17.82441,24.95046,outdoor
-17.82439,24.95041,outdoor
-17.82437,24.95035,outdoor
-17.82435,24.95029,outdoor
-17.82433,24.95023,outdoor
-17.82431,24.95016,outdoor
-17.82429,24.9501,outdoor
-17.82428,24.95003,outdoor
-17.82426,24.94997,outdoor
-17.82425,24.9499,outdoor
-17.82423,24.94984,outdoor
-17.82421,24.94978,outdoor
-17.8242,24.94973,outdoor
-17.82418,24.94968,outdoor
-17.82417,24.94964,outdoor
-17.82416,24.94959,outdoor
-17.82415,24.94954,outdoor
-17.82414,24.9495,outdoor
-17.82413,24.94945,outdoor
-17.82412,24.94941,outdoor
-17.82411,24.94938,outdoor
-17.82411,24.94935,outdoor
-17.8241,24.94934,outdoor
-17.8241,24.94933,outdoor
-17.8241,24.94933,outdoor
-17.8241,24.94932,outdoor
-17.8241,24.94931,outdoor
-17.8241,24.9493,outdoor
-17.82409,24.94928,outdoor
-17.82409,24.94928,outdoor
-17.82409,24.94927,outdoor
-17.82409,24.94927,outdoor
-17.82409,24.94926,outdoor
-17.82409,24.94926,outdoor
-17.82408,24.94925,outdoor
-17.82408,24.94924,outdoor
-17.82408,24.94924,outdoor
-17.82408,24.94923,outdoor
-17.82408,24.94923,outdoor
-17.82408,24.94922,outdoor
-17.82408,24.94922,outdoor
-17.82408,24.94921,outdoor
-17.82408,24.9492,outdoor
-17.82408,24.9492,outdoor
-17.82407,24.94918,outdoor
-17.82407,24.94917,outdoor
-17.82406,24.94917,outdoor
-17.82406,24.94917,outdoor
-17.82406,24.94916,outdoor
-17.82406,24.94916,outdoor
-17.82406,24.94915,outdoor
-17.82406,24.94915,outdoor
-17.82406,24.94915,outdoor
-17.82405,24.94914,outdoor
-17.82405,24.94914,outdoor
-17.82405,24.94914,outdoor
-17.82405,24.94913,outdoor
-17.82404,24.9491,outdoor
-17.82403,24.94909,outdoor
-17.82402,24.94905,outdoor
-17.82401,24.94903,outdoor
-17.824,24.949,outdoor
-17.82399,24.94895,outdoor
-17.82399,24.94891,outdoor
-17.82397,24.94888,outdoor
-17.82397,24.94887,outdoor
-17.82395,24.94884,outdoor
-17.82394,24.94881,outdoor
-17.82393,24.94878,outdoor
-17.82391,24.94874,outdoor
-17.8239,24.94871,outdoor
-17.82389,24.94868,outdoor
-17.82387,24.94865,outdoor
-17.82386,24.94862,outdoor
-17.82385,24.94859,outdoor
-17.82384,24.94856,outdoor
-17.82384,24.94853,outdoor
-17.82385,24.94848,outdoor
-17.82385,24.94846,outdoor
-17.82387,24.94843,outdoor
-17.82389,24.94839,outdoor
-17.82392,24.94836,outdoor
-17.82395,24.94834,outdoor
-17.82398,24.94832,outdoor
-17.82401,24.9483,outdoor
-17.82406,24.94829,outdoor
-17.82409,24.94828,outdoor
-17.82414,24.94828,outdoor
-17.82418,24.94828,outdoor
-17.82422,24.94828,outdoor
-17.82426,24.94828,outdoor
-17.82429,24.94828,outdoor
-17.82432,24.94828,outdoor
-17.82435,24.94827,outdoor
-17.82438,24.94826,outdoor
-17.82441,24.94824,outdoor
-17.82443,24.94821,outdoor
-17.82445,24.94818,outdoor
-17.82447,24.94815,outdoor
-17.82449,24.94811,outdoor
-17.82451,24.94807,outdoor
-17.82453,24.94805,outdoor
-17.82454,24.94804,outdoor
-17.82456,24.94801,outdoor
-17.82457,24.948,outdoor
-17.82459,24.94797,outdoor
-17.8246,24.94796,outdoor
-17.82462,24.94794,outdoor
-17.82464,24.94792,outdoor
-17.82467,24.9479,outdoor
-17.82469,24.94788,outdoor
-17.82472,24.94786,outdoor
-17.82474,24.94784,outdoor
-17.82477,24.94783,outdoor
-17.82481,24.94782,outdoor
-17.82484,24.94781,outdoor
-17.82487,24.94782,outdoor
-17.8249,24.94783,outdoor
-17.82493,24.94783,outdoor
-17.82496,24.94785,outdoor
-17.82499,24.94785,outdoor
-17.82501,24.94786,outdoor
-17.82505,24.94787,outdoor
-17.82506,24.94787,outdoor
-17.8251,24.94787,outdoor
-17.82511,24.94787,outdoor
-17.82514,24.94787,outdoor
-17.82515,24.94787,outdoor
-17.82519,24.94785,outdoor
-17.8252,24.94785,outdoor
-17.82522,24.94784,outdoor
-17.82523,24.94784,outdoor
-17.82527,24.94784,outdoor
-17.82528,24.94784,outdoor
-17.8253,24.94783,outdoor
-17.82534,24.94783,outdoor
-17.82537,24.94782,outdoor
-17.82538,24.94782,outdoor
-17.82542,24.94781,outdoor
-17.82543,24.94781,outdoor
-17.82546,24.9478,outdoor
-17.82547,24.9478,outdoor
-17.82551,24.9478,outdoor
-17.82552,24.9478,outdoor
-17.82556,24.9478,outdoor
-17.82557,24.9478,outdoor
-17.82561,24.9478,outdoor
-17.82562,24.9478,outdoor
-17.82565,24.9478,outdoor
-17.82569,24.94781,outdoor
-17.8257,24.94781,outdoor
-17.82574,24.94782,outdoor
-17.82575,24.94782,outdoor
-17.82578,24.94783,outdoor
-17.82579,24.94784,outdoor
-17.82582,24.94785,outdoor
-17.82583,24.94786,outdoor
-17.82587,24.94788,outdoor
-17.82588,24.94789,outdoor
-17.82592,24.9479,outdoor
-17.82593,24.94791,outdoor
-17.82595,24.94792,outdoor
-17.82598,24.94793,outdoor
-17.82601,24.94793,outdoor
-17.82604,24.94794,outdoor
-17.82606,24.94794,outdoor
-17.82609,24.94794,outdoor
-17.82612,24.94794,outdoor
-17.82616,24.94794,outdoor
-17.82617,24.94794,outdoor
-17.82621,24.94794,outdoor
-17.82622,24.94794,outdoor
-17.82626,24.94794,outdoor
-17.82627,24.94794,outdoor
-17.82631,24.94793,outdoor
-17.82632,24.94793,outdoor
-17.82635,24.94793,outdoor
-17.82636,24.94793,outdoor
-17.82639,24.94792,outdoor
-17.8264,24.94792,outdoor
-17.82642,24.94792,outdoor
-17.82643,24.94793,outdoor
-17.82644,24.94793,outdoor
-17.82645,24.94794,outdoor
-17.82645,24.94794,outdoor
-17.82646,24.94795,outdoor
-17.82647,24.94795,outdoor
-17.82647,24.94796,outdoor
-17.82648,24.94797,outdoor
-17.82648,24.94797,outdoor
-17.82648,24.94796,outdoor
-17.82648,24.94796,outdoor
-17.82648,24.94796,outdoor
-17.82648,24.94796,outdoor
-17.82647,24.94795,outdoor
-17.82645,24.94793,outdoor
-17.82644,24.94793,outdoor
-17.82644,24.94792,outdoor
-17.82644,24.94793,outdoor
-17.82644,24.94794,outdoor
-17.82644,24.94795,outdoor
-17.82644,24.94796,outdoor
-17.82644,24.94797,outdoor
-17.82644,24.94797,outdoor
-17.82644,24.94796,outdoor
-17.82644,24.94796,outdoor
-17.82645,24.94796,outdoor
-17.82645,24.94796,outdoor
-17.82645,24.94795,outdoor
-17.82645,24.94795,outdoor
-17.82645,24.94795,outdoor
-17.82646,24.94794,outdoor
-17.82646,24.94794,outdoor
-17.82646,24.94794,outdoor
-17.82646,24.94793,outdoor
-17.82646,24.94793,outdoor
-17.82646,24.94792,outdoor
-17.82646,24.94793,outdoor
-17.82645,24.94793,outdoor
-17.82644,24.94793,outdoor
-17.82644,24.94793,outdoor
-17.82643,24.94794,outdoor
-17.82643,24.94794,outdoor
-17.82639,24.94794,outdoor
-17.82638,24.94794,outdoor
-17.82634,24.94794,outdoor
-17.82633,24.94795,outdoor
-17.8263,24.94795,outdoor
-17.82626,24.94795,outdoor
-17.82625,24.94795,outdoor
-17.82621,24.94795,outdoor
-17.8262,24.94795,outdoor
-17.82617,24.94794,outdoor
-17.82614,24.94794,outdoor
-17.8261,24.94794,outdoor
-17.82606,24.94794,outdoor
-17.82602,24.94794,outdoor
-17.82599,24.94794,outdoor
-17.82596,24.94794,outdoor
-17.82593,24.94793,outdoor
-17.82589,24.94791,outdoor
-17.82588,24.9479,outdoor
-17.82585,24.94788,outdoor
-17.82582,24.94787,outdoor
-17.82579,24.94785,outdoor
-17.82576,24.94783,outdoor
-17.82573,24.94782,outdoor
-17.8257,24.94782,outdoor
-17.82566,24.94782,outdoor
-17.82562,24.94782,outdoor
-17.82559,24.94782,outdoor
-17.82555,24.94782,outdoor
-17.82551,24.94782,outdoor
-17.82546,24.94782,outdoor
-17.82541,24.94783,outdoor
-17.82536,24.94783,outdoor
-17.82532,24.94784,outdoor
-17.82527,24.94785,outdoor
-17.82522,24.94785,outdoor
-17.82518,24.94786,outdoor
-17.82513,24.94787,outdoor
-17.82509,24.94788,outdoor
-17.82504,24.94788,outdoor
-17.82499,24.94788,outdoor
-17.82494,24.94787,outdoor
-17.8249,24.94785,outdoor
-17.82487,24.94784,outdoor
