longitude,latitude,annotation
-84.278156,46.591316,outdoor
-84.278182,46.591357,outdoor
-84.278217,46.591397,outdoor
-84.278233,46.591426,outdoor
-84.278253,46.591457,outdoor
-84.278261,46.591487,outdoor
-84.278268,46.591495,outdoor
-84.27831,46.591513,outdoor
-84.278321,46.591517,outdoor
-84.278361,46.591515,outdoor
-84.278375,46.591513,outdoor
-84.278389,46.591511,outdoor
-84.278434,46.59149,outdoor
-84.278454,46.591488,outdoor
-84.278489,46.591505,outdoor
-84.27851,46.591508,outdoor
-84.278534,46.59151,outdoor
-84.27856,46.591538,outdoor
-84.27857,46.591566,outdoor
-84.278571,46.591578,outdoor
-84.278572,46.591582,outdoor
-84.278561,46.591594,outdoor
-84.278556,46.591607,outdoor
-84.278544,46.591624,outdoor
-84.278541,46.591655,outdoor
-84.278537,46.59166,outdoor
-84.278539,46.59167,outdoor
-84.27855,46.591691,outdoor
-84.278564,46.591724,outdoor
-84.278571,46.591736,outdoor
-84.278588,46.591743,outdoor
-84.278609,46.591749,outdoor
-84.278633,46.591765,outdoor
-84.278635,46.591775,outdoor
-84.278636,46.591786,outdoor
-84.27863,46.591799,outdoor
-84.278608,46.591817,outdoor
-84.27859,46.591844,outdoor
-84.278589,46.591852,outdoor
-84.278605,46.591862,outdoor
-84.278627,46.591876,outdoor
-84.278633,46.59187,outdoor
-84.278638,46.591874,outdoor
-84.278639,46.591876,outdoor
-84.278669,46.591886,outdoor
-84.278701,46.591917,outdoor
-84.27871,46.591931,outdoor
-84.278721,46.59195,outdoor
-84.278729,46.591963,outdoor
-84.27874,46.591976,outdoor
-84.278746,46.591995,outdoor
-84.278766,46.592029,outdoor
-84.278778,46.59204,outdoor
-84.278798,46.592067,outdoor
-84.278822,46.592102,outdoor
-84.278827,46.592113,outdoor
-84.278834,46.592143,outdoor
-84.278835,46.592177,outdoor
-84.278838,46.592186,outdoor
-84.278859,46.592217,outdoor
-84.278863,46.592227,outdoor
-84.278869,46.592254,outdoor
-84.278872,46.592263,outdoor
-84.278891,46.592296,outdoor
-84.278899,46.592305,outdoor
-84.278896,46.592314,outdoor
-84.278917,46.592334,outdoor
-84.278926,46.592374,outdoor
-84.278934,46.592392,outdoor
-84.278954,46.59243,outdoor
-84.278996,46.592468,outdoor
-84.279017,46.592499,outdoor
-84.27903,46.592531,outdoor
-84.279042,46.592571,outdoor
-84.279055,46.5926,outdoor
-84.279076,46.592636,outdoor
-84.279084,46.592658,outdoor
-84.279101,46.592686,outdoor
-84.279124,46.592729,outdoor
-84.279133,46.592748,outdoor
-84.279154,46.592785,outdoor
-84.279164,46.592798,outdoor
-84.279185,46.59285,outdoor
-84.279204,46.592885,outdoor
-84.27921,46.592892,outdoor
-84.279224,46.592909,outdoor
-84.279241,46.592946,outdoor
-84.279245,46.59296,outdoor
-84.279254,46.592998,outdoor
-84.279265,46.593015,outdoor
-84.279271,46.593045,outdoor
-84.279283,46.593057,outdoor
-84.279298,46.593098,outdoor
-84.279305,46.593114,outdoor
-84.279325,46.593154,outdoor
-84.279338,46.593191,outdoor
-84.279346,46.593235,outdoor
-84.279349,46.593277,outdoor
-84.279355,46.593305,outdoor
-84.279359,46.593336,outdoor
-84.279369,46.593364,outdoor
-84.27937,46.593394,outdoor
-84.279379,46.593421,outdoor
-84.2794,46.593466,outdoor
-84.279409,46.593487,outdoor
-84.279422,46.593524,outdoor
-84.279427,46.593558,outdoor
-84.279422,46.593601,outdoor
-84.279423,46.593617,outdoor
-84.279422,46.593644,outdoor
-84.279414,46.593685,outdoor
-84.279406,46.593698,outdoor
-84.279395,46.59373,outdoor
-84.279392,46.593742,outdoor
-84.279384,46.593774,outdoor
-84.279368,46.593812,outdoor
-84.279339,46.59385,outdoor
-84.279331,46.593865,outdoor
-84.27932,46.593898,outdoor
-84.279314,46.593908,outdoor
-84.279303,46.593938,outdoor
-84.279301,46.593946,outdoor
-84.279302,46.593981,outdoor
-84.279307,46.593996,outdoor
-84.279314,46.594034,outdoor
-84.279314,46.594048,outdoor
-84.279328,46.594092,outdoor
-84.279341,46.594126,outdoor
-84.279331,46.594166,outdoor
-84.279332,46.594181,outdoor
-84.279329,46.594212,outdoor
-84.279305,46.594241,outdoor
-84.279291,46.594256,outdoor
-84.279274,46.594289,outdoor
-84.279265,46.594299,outdoor
-84.279247,46.594337,outdoor
-84.27924,46.594352,outdoor
-84.27924,46.594383,outdoor
-84.279256,46.594411,outdoor
-84.279262,46.594453,outdoor
-84.279272,46.59447,outdoor
-84.279293,46.594504,outdoor
-84.27929,46.594518,outdoor
-84.279309,46.594549,outdoor
-84.279304,46.594582,outdoor
-84.279302,46.594623,outdoor
-84.279309,46.594643,outdoor
-84.279311,46.594681,outdoor
-84.279321,46.594714,outdoor
-84.279318,46.594755,outdoor
-84.27932,46.594769,outdoor
-84.279305,46.594795,outdoor
-84.279302,46.594823,outdoor
-84.279291,46.594864,outdoor
-84.279292,46.594881,outdoor
-84.279282,46.594909,outdoor
-84.279247,46.594934,outdoor
-84.27921,46.594957,outdoor
-84.27919,46.594987,outdoor
-84.279189,46.594997,outdoor
